Type,Institutions - Eng Name,Institutions - Fr Name,Campus,Main/Sub Campus?,Address,City,Province,Pcode,phone,Connected ,Source,"CANARIE
Member","AUCC 
Member",Comments
Schools / K-12,Red Deer Catholic Regional Division No. 39,Red Deer Catholic Regional Division No. 39,,,Monfort Centre 5210-61 Street,Red Deer,Alberta,T4N 6N8,(403) 343-1055,Yes,Cybera,Yes,TBC,
Schools / K-12,Rocky View School Division No.14,,,,2651 Chinook Winds Dr SW,Airdrie,Alberta,T4B 0B4,(403) 948-3250,Yes,Cybera,Yes,TBC,
Schools / K-12,Wild Rose Public Schools,,,,4912 - 43 Street ,Rocky Mountain House,Alberta,T4T 1P4,403 845 3376,Yes,Cybera,Yes,TBC,
Schools / K-12,Wolf Creek Public Schools ,,,,6000 Highway 2A,Ponoka,Alberta,T4J 1P6,403 783 3483,Yes,Cybera,Yes,TBC,
Schools / K-12,Aspen View Public Schools Regional Division No.19,,,,3600 48th Avenue,Athabasca,Alberta,T9S 1M8,780 675 7080,Yes,Cybera,Yes,TBC,
University,Athabasca University - Calgary,Athabasca University,Calgary,Sub,"1040 7 Ave SW,",Calgary,Alberta,T2P 3G9,1-800-788-9041,Yes,Cybera,Yes,TBC,
University,Athabasca University - Edmonton,Athabasca University,Edmonton,Sub,10011 109 St NW,Edmonton,Alberta,T5J 3S8,1-800-788-9041,Yes,Cybera,Yes,TBC,
University,Athabasca Universtiy,Athabasca Universtiy,Athabasca,Main,1 University Drive,Athabasca,Alberta,T9S 3A3,1-800-788-9041,Yes,Cybera,Yes,TBC,
University,CAIN project - Canadian Atherosclerosis Imaging Network,,HBI/UofC & Foothils Hospital,Sub,1403 29 Street NW,Calgary,Alberta,T2N 2T9,403 944 8321,Yes,Cybera,Yes,TBC,
University,MacEwan University,,,,"10700 104 Ave NW,",Edmonton,Alberta,T5J 4S2,780 497 5040,Yes,Cybera,Yes,TBC,
University,Mount Royal University,Mount Royal University,,Main,4825 Richard Road SW,Calgary,Alberta,T3E 6K6,(403)440-7204,Yes,Cybera,Yes,TBC,
University,University of Alberta,University of Alberta,North Campus,Main,2-10 University Hall,Edmonton,Alberta,T6G 2J9,(780)492-4485,Yes,Cybera,Yes,yes,
University,University of Alberta,University of Alberta,Augustana,Sub,4901 46 Ave,Camrose,Alberta,T4V 2R3,780 679 1100,Yes,Cybera,Yes,yes,
University,University of Alberta,University of Alberta,Calgary Centre,Sub,"120-333 5 Ave SW,",Calgary,Alberta,T2P 3B6,403 718 6375,Yes,Cybera,Yes,TBC,
University,University of Alberta,University of Alberta,Campus Saint-Jean,Sub,8406 Marie-Anne-Gaboury Street (91 St) ,Edmonton,Alberta,T6C 4G9,780 465 8700,Yes,Cybera,Yes,TBC,
University,University of Alberta,University of Alberta,Enterprise Square,Sub,"1-047 Lister Centre, Uni of Alberta",Edmonton,Alberta,T6G 2H6,(780) 492-6057,Yes,Cybera,Yes,TBC,
University,University of Alberta,University of Alberta,South Campus,Sub,118 Street SW,Edmonton,Alberta,,780-492-3111,Yes,Cybera,Yes,TBC,
University,University of Calgary,University of Calgary,,Main,2500 University Drive NW,Calgary,Alberta,T2N 1N4,(403) 220-5110 ,Yes,Cybera,Yes,TBC,
University,University of Lethbridge,University of Lethbridge,,Main,4401 University Drive West,Lethbridge,Alberta,T1K 3M4,(403)315-2941,Yes,Cybera,Yes,TBC,
